smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
C=CC(=O)NOC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.911116980187144,0.0351372319390776,0.6463330005515724,309.32900000000006,1.95082,87.44,2,6,0.0,9.199146248523853,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.225868842634966,0.8182257163781242,9.623413495652406,-0.3147518624478227,-0.17189271582655186,-0.4242672471285527
O=C(O)CCOCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.973864545952322,0.0088505871669061,0.3774228935382279,418.25100000000015,3.3916000000000013,109.26,3,7,0.0,9.15372540555453,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.35150962487041,0.5170252665618642,9.598318997691685,-0.3776450789180874,-0.13960237302363632,-0.44459359213715466
C=CC(=O)C(OC)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.900951658080274,0.0392711565725976,0.6324060950216026,399.2480000000001,3.973500000000003,77.0,1,6,0.0,9.177883549018476,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.331955814487577,0.6622425832625197,9.62464397069617,-0.43100415640730283,-0.029836488240917114,-0.44676042167769303
C=COC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.963406676245885,0.0400357673861256,0.50874426616121,399.2480000000001,4.321100000000002,77.0,1,6,0.0,9.177743041940364,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.331955814487577,0.6622425832625197,9.62464397069617,-0.36854913824169167,-0.15349831710130968,-0.4469009287558059
C=CC(=O)OC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.791437204878996,0.0514257889076937,0.6880835687619656,293.326,2.974120000000001,63.05,1,5,0.0,9.084053200352283,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.148910562934578,0.8407986245812334,9.539862393436406,-0.3574733580555822,-0.1527150558192678,-0.45580919308412327
O=C(O)CCOCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.942960443392838,0.0144369847616824,0.3774228935382279,418.2510000000001,3.3916000000000013,109.26,3,7,0.0,9.11723490540027,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.347422264803685,0.5170252665618643,9.583455041718128,-0.4044618214108464,-0.13960237302363643,-0.4662201363178582
C=CC(=O)OC(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.922443139528406,0.0348498267608563,0.50874426616121,399.2480000000001,4.321100000000002,77.0,1,6,0.0,9.141965445848154,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.331955814487577,0.6622425832625197,9.62464397069617,-0.40951267495917065,-0.15349831710130968,-0.48267852484801566
CC(C(=O)C=CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.935632125479604,0.0443487814315214,0.4921019548555872,399.2480000000001,4.2752000000000026,88.0,2,6,0.0,9.137334321475876,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.331955814487577,0.6622425832625197,9.62464397069617,-0.3963236890079731,-0.1701406284069325,-0.4873096492202933
NC(CO)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.857639269113651,0.0173486349666486,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.09635176820489,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.5009400576171625,-8.098231215036833e-05,-0.49112025653072067
C=CC(=O)OC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.83317865828847,0.0405675895570852,0.6721170843977406,294.314,2.4462200000000003,75.41,1,6,0.0,9.128669610930254,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.225868842634966,0.8182257163781242,9.623413495652406,-0.39269018434649716,-0.1461086319803836,-0.49474388472215125
