smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max
CCOc1ccccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
C=CC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)Oc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CCS(C)(=O)=O)CC2)CC1,0.3,9.522878745280337,7,7.982966660701219,10.0
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(N)(=O)=O)n1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
COCCNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4NS(C)(=O)=O)n3)c(OC)c2)CC1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
COc1cc(NS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCOCC1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NS(C)(=O)=O)cc3)cc12)c1ccccc1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
C[C@H]1CN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CCN1,0.3,9.522878745280337,3,9.214670164989233,9.853871964321762
COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CO)cc3)cc12)c1ccccc1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.31,9.508638306165727,1,9.508638306165727,9.508638306165727
CN1CCC[C@H]1COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,0.31,9.508638306165727,1,9.508638306165727,9.508638306165727
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],0.31,9.508638306165727,1,9.508638306165727,9.508638306165727
CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.41000000000000003,9.498916969121746,2,9.173925197299173,9.823908740944319
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)OC(C)C)c(-c2c[nH]c3ccccc23)n1,0.32,9.494850021680094,3,7.823908740944319,9.795880017344075
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],0.32,9.494850021680094,1,9.494850021680094,9.494850021680094
C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,0.32,9.494850021680094,1,9.494850021680094,9.494850021680094
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],0.32,9.494850021680094,1,9.494850021680094,9.494850021680094
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],0.33,9.481486060122112,1,9.481486060122112,9.481486060122112
COc1cc(N2CCC(N3CC(CC#N)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.33,9.481486060122112,3,6.3365817877473205,9.920818753952375
CCO[C@@H]1CCN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.345,9.470029055969022,2,9.387216143280265,9.55284196865778
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)cc4F)ncnc3cc2O[C@H]2CCOC2)CC1,0.34,9.468521082957745,1,9.468521082957745,9.468521082957745
C=CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,0.34,9.468521082957745,1,9.468521082957745,9.468521082957745
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,0.34,9.468521082957745,1,9.468521082957745,9.468521082957745
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(C)cc3)nn21,0.34,9.468521082957745,1,9.468521082957745,9.468521082957745
C=CC(=O)N1CC(Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)C1,0.4,9.460409376976187,2,9.221848749616356,9.698970004336019
Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,0.35,9.455931955649724,1,9.455931955649724,9.455931955649724
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,0.355,9.449814727441218,4,6.490797477668897,9.494850021680094
O=C(Cn1sccc1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.36,9.443697499232712,2,9.443697499232712,9.443697499232712
O=C(O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.37,9.431798275933005,1,9.431798275933005,9.431798275933005
COc1cc2c(Nc3ccc(C)c(Br)c3)ncnc2cc1OCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,0.37,9.431798275933005,1,9.431798275933005,9.431798275933005
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],0.37,9.431798275933005,1,9.431798275933005,9.431798275933005
O=C(CNC(=O)Oc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.37,9.431798275933005,1,9.431798275933005,9.431798275933005
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC12COCC1C2,0.37,9.431798275933005,1,9.431798275933005,9.431798275933005
O=C(O)/C=C/C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.3715,9.430041181903405,1,9.430041181903405,9.430041181903405
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,0.38,9.42021640338319,4,6.486782399932061,9.494850021680094
C=C(C(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1)C(F)(F)F,0.38,9.42021640338319,1,9.42021640338319,9.42021640338319
CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6COC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.38,9.42021640338319,3,8.744727494896694,9.602059991327963
