activity_id,assay_chembl_id,assay_type,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
358713,CHEMBL674029,F,CHEMBL1127050,CHEMBL79531,4.75,=,=,IC50,nM,18000.0,IC50,uM,18.0
359002,CHEMBL680028,B,CHEMBL1145020,CHEMBL285063,8.70,=,=,IC50,nM,2.0,IC50,uM,0.002
359320,CHEMBL677387,B,CHEMBL1130246,CHEMBL127041,9.62,=,=,IC50,nM,0.24,IC50,nM,0.24
360083,CHEMBL674029,F,CHEMBL1127050,CHEMBL79808,4.68,=,=,IC50,nM,21000.0,IC50,uM,21.0
360394,CHEMBL680028,B,CHEMBL1145020,CHEMBL116012,4.99,=,=,IC50,nM,10320.0,IC50,uM,10.32
360720,CHEMBL677386,B,CHEMBL1130246,CHEMBL126791,9.29,=,=,IC50,nM,0.51,IC50,nM,0.51
360722,CHEMBL677387,B,CHEMBL1130246,CHEMBL54400,9.89,=,=,IC50,nM,0.13,IC50,nM,0.13
360723,CHEMBL673451,B,CHEMBL1130246,CHEMBL54400,7.80,=,=,IC50,nM,16.0,IC50,nM,16.0
360724,CHEMBL677387,B,CHEMBL1130246,CHEMBL128468,9.55,=,=,IC50,nM,0.28,IC50,nM,0.28
360725,CHEMBL677387,B,CHEMBL1130246,CHEMBL341522,8.25,=,=,IC50,nM,5.6,IC50,nM,5.6
361249,CHEMBL674029,F,CHEMBL1127050,CHEMBL83837,4.48,=,=,IC50,nM,33000.0,IC50,uM,33.0
361550,CHEMBL680028,B,CHEMBL1145020,CHEMBL111038,6.72,=,=,IC50,nM,190.0,IC50,uM,0.19
361830,CHEMBL677387,B,CHEMBL1130246,CHEMBL339416,9.13,=,=,IC50,nM,0.74,IC50,nM,0.74
361831,CHEMBL673451,B,CHEMBL1130246,CHEMBL339416,,>,>,IC50,nM,1000.0,IC50,nM,1000.0
362610,CHEMBL674029,F,CHEMBL1127050,CHEMBL47986,5.70,=,=,IC50,nM,2000.0,IC50,uM,2.0
